Round No.,Team No.,Did they move off the starting line?,Highest Reef Level Scored:,Number of Coral Scored:,Number of Algae Scored in Processor:,Number of Algae Scored in The Net:,Coral Scored on Level 1 (bottom):,Coral Scored on Level 2:,Coral Scored on Level 3:,Coral Scored on Level 4 (top):,Algae Scored in The Processor:,Algae Scored in The Net (robot):,Algae Scored in The Net (human),Which cage did they climb on?,Robot Speed:,Robot Driving Stability:,Robot Functioning Stability:,Notes:,Points Scored (Teleop),Points Scored (Auto),Total Points Scored (Excluding Penalties)
1.0,5516,Yes,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,20.0,10.0,30.0
1.0,2438,Yes,4.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,18.0,10.0,28.0
1.0,5468,Yes,4.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,45.0,10.0,55.0
1.0,7332,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
1.0,4253,Yes,4.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Small Malfunction,N/A,19.0,10.0,29.0
2.0,10044,No,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,20.0,0.0,20.0
2.0,4421,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,None,Fast,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,25.0,10.0,35.0
2.0,9180,Yes,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,N/A,8.0,3.0,11.0
2.0,6036,Yes,4.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,26.0,10.0,36.0
2.0,4421,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,None,Fast,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,25.0,10.0,35.0
2.0,10044,No,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,20.0,0.0,20.0
2.0,7287,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,12.0,3.0,15.0
3.0,9292,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,0.0,0.0
3.0,3990,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,18.0,10.0,28.0
3.0,4327,Yes,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,6.0,3.0,9.0
3.0,4128,Yes,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,26.0,6.0,32.0
3.0,8339,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Temporarily Disabled,N/A,0.0,3.0,3.0
3.0,3128,Yes,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,26.0,6.0,32.0
1.0,7551,Yes,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,16.0,3.0,19.0
4.0,6188,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Permanent Failure (out for the round),N/A,0.0,0.0,0.0
4.0,7796,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Fell Over,Small Malfunction,N/A,0.0,3.0,3.0
4.0,7167,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,0.0,0.0
4.0,4862,Yes,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,N/A,10.0,3.0,13.0
4.0,4270,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,26.0,10.0,36.0
4.0,10527,Yes,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,N/A,12.0,6.0,18.0
5.0,359,Yes,4.0,2.0,0.0,0.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,Shallow Cage (high),Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,41.0,10.0,51.0
5.0,8338,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,0.0,0.0
5.0,9044,Yes,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,12.0,3.0,15.0
5.0,10384,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,3.0,3.0
5.0,7673,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,0.0,3.0,3.0
5.0,2122,No,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,25.0,7.0,32.0
6.0,6902,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Permanent Failure (out for the round),N/A,0.0,3.0,3.0
6.0,2550,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Temporarily Disabled,N/A,0.0,3.0,3.0
6.0,6390,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,0.0,0.0,0.0
6.0,6390,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,0.0,0.0,0.0
6.0,7688,Yes,0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction,N/A,30.0,3.0,33.0
6.0,7688,Yes,0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction,N/A,30.0,3.0,33.0
6.0,9719,No,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,N/A,2.0,0.0,2.0
6.0,846,No,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction,N/A,19.0,0.0,19.0
6.0,846,No,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction,N/A,19.0,0.0,19.0
7.0,9719,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Temporarily Disabled,N/A,0.0,0.0,0.0
7.0,9719,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Temporarily Disabled,N/A,0.0,0.0,0.0
7.0,9719,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Temporarily Disabled,N/A,0.0,0.0,0.0
7.0,5461,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,0.0,0.0
7.0,7135,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Temporarily Disabled,N/A,0.0,3.0,3.0
7.0,9649,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,0.0,0.0
7.0,4627,Yes,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,27.0,9.0,36.0
7.0,9649,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,0.0,0.0
7.0,6364,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,N/A,0.0,3.0,3.0
7.0,6364,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,N/A,0.0,3.0,3.0
8.0,1622,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Small Malfunction,N/A,0.0,0.0,0.0
8.0,10426,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,0.0,3.0,3.0
8.0,6353,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,5.0,3.0,8.0
8.0,7190,No,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Temporarily Disabled,N/A,5.0,0.0,5.0
8.0,7190,No,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Temporarily Disabled,N/A,5.0,0.0,5.0
8.0,7190,No,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Temporarily Disabled,N/A,5.0,0.0,5.0
8.0,9449,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,N/A,0.0,0.0,0.0
9.0,6188,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,0.0,0.0
9.0,4253,Yes,4.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,28.0,10.0,38.0
9.0,6188,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,0.0,0.0,0.0
9.0,5468,Yes,4.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,45.0,10.0,55.0
9.0,3128,Yes,0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0,2.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,49.0,3.0,52.0
9.0,3128,Yes,0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0,2.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,49.0,3.0,52.0
10.0,2438,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,27.0,10.0,37.0
10.0,10527,Yes,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction,N/A,2.0,6.0,8.0
10.0,6036,Yes,4.0,3.0,0.0,0.0,0.0,5.0,7.0,2.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,N/A,53.0,10.0,63.0
10.0,10384,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,N/A,22.0,3.0,25.0
11.0,4327,Yes,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Temporarily Disabled,N/A,14.0,3.0,17.0
