Round No.,Team No.,Did they move off the starting line?,Highest Reef Level Scored:,Number of Coral Scored:,Number of Algae Scored in Processor:,Number of Algae Scored in The Net:,Coral Scored on Level 1 (bottom):,Coral Scored on Level 2:,Coral Scored on Level 3:,Coral Scored on Level 4 (top):,Algae Scored in The Processor:,Algae Scored in The Net (robot):,Algae Scored in The Net (human),Which cage did they climb on?,Robot Speed:,Robot Driving Stability:,Robot Functioning Stability:,Notes,Points Scored (Excluding Penalties)
2.0,6038,Yes,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional,"shooter on elevator shakes, drove like they only had power to 3 wheels, elevator extremely slow",21.0
3.0,6832,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction,Kept getting stuck on the processor. Not a good candidate.,14.0
3.0,6832,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction,Kept getting stuck on the processor. Not a good candidate.,14.0
3.0,1507,Yes,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,"Pretty buns. Coral got stuck in their bot during auto, and they sold rest of the match. Got penalty for holding more than one game piece",14.0
3.0,1507,Yes,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,"Pretty buns. Coral got stuck in their bot during auto, and they sold rest of the match. Got penalty for holding more than one game piece",14.0
4.0,6911,No,0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,Well-rounded bot that can score both algae and coral. Great candidate.,48.0
5.0,6146,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,"Currently doing bad, but decent potential. Scored a couple l3, the cycle times were not very good tho. Also turned into a defense bit midway through the match, I’m not entirely sure why",15.0
6.0,10260,Yes,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,Ineffective algae bot. Bad candidate.,14.0
1.0,3891,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,"played defence, shut down some scoring, seemed average to me, didn’t draw many penalties",0.0
11.0,7525,Yes,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Small Malfunction,"Scoring issue for Q11, went to defend. No accurate scoring data. Elevator goes up to L4 position, seems to be able to score normally. ",0.0
12.0,537,Yes,1.0,1.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,"Not a horrible team. First half of the match did not go well for them(messed up auto, misalignment), 2nd half of the match they started working on the lower coral levels and it they were pretty consis",41.0
13.0,1369,No,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional,"Didn’t fill in the data above, just making this entry to note that this team is not very good. Very wobbly, missed a lot of coral",0.0
13.0,1369,Yes,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,"good algae robot, seems like no auto align for coral tho",33.0
14.0,10291,Yes,3.0,1.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,"algae clearer, mostly coral robot, ground intake works well, scoring missed 2, auton missed 2 algae",29.0
15.0,4421,No,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,auto align is still iffy,33.0
18.0,3297,No,4.0,1.0,0.0,1.0,1.0,3.0,0.0,7.0,1.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional,"a bit slow, but works well",52.0
19.0,7257,Yes,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Temporarily Disabled,"communication issue, went to play defence then climb",9.0
20.0,4613,Yes,0,0.0,0.0,1.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Small Malfunction,algae mechanism malfunctioned for a sec?,40.0
20.0,2129,Yes,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Permanent Failure (out for the round),Air balled the first coral completely and then barely moved for the whole match,4.0
20.0,2129,Yes,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,None,Slow,Stable (all wheels on the ground at all times),Permanent Failure (out for the round),Air balled the first coral completely and then barely moved for the whole match,4.0
21.0,4451,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction,"somehting broke, started playing defence then went to climb",20.0
21.0,6909,Yes,0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Temporarily Disabled,"Not horrible? Tele op was a fail, and they were idle for a little bit, but once they started moving they scored a few corals",17.0
24.0,694,Yes,4.0,3.0,0.0,0.0,0.0,4.0,5.0,3.0,2.0,2.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,,67.0
25.0,6083,Yes,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional,2 algae processed on each side for coopertition ,24.0
