,Team No.,Scout name:,Auto coral best/preferred level:,Auto other information:,Can score coral in teleop:,Can score algae in processor in teleop:,Can score algae in net in teleop:,Coral intake from station:,Coral ground intake:,Algae reef cleaner:,Algae ground intake:,Climb ability:,Drive train,Can read April tags:,Notes:
0,6390,Sheldon,4 (Top),nan,Yes,No,No,"Yes, wide/funnel intake",No,"Yes, clean only",No,None,Swerve,Yes,"Full kraken, custom cameras"
1,359,Hawaiian Kids,4 (Top),nan,Yes,Yes,Yes,"Yes, wide/funnel intake",Yes,"Yes, can intake",Yes,Deep cage,Swerve,Yes,nan
2,6036,Allen,4 (Top),4 L4,Yes,Yes,No,"Yes, wide/funnel intake",No,"Yes, can intake",No,Deep cage,Swerve,Yes,"Full kraken, arducams"
3,5516,Sheldon,4 (Top),3 L4,Yes,Yes,No,"Yes, wide/funnel intake",No,"Yes, can intake",No,None,Swerve,Yes,"Full kraken, arducams"
4,5516,Sheldon,4 (Top),3 L4,Yes,Yes,No,"Yes, wide/funnel intake",No,"Yes, can intake",No,None,Swerve,Yes,"Full kraken, arducams"
5,5516,Sheldon,4 (Top),3 L4,Yes,Yes,No,"Yes, wide/funnel intake",No,"Yes, can intake",No,None,Swerve,Yes,"Full kraken, arducams"
6,5468,Allen ,4 (Top),2 L4 and can clear,Yes,No,No,"Yes, thin intake",No,"Yes, clean only",No,Deep cage,Swerve,Yes,"Full kraken,  2 limelight"
7,6364,Allen,4 (Top),L4 1 coral,Yes,Yes,Yes,"Yes, wide/funnel intake",No,"Yes, can intake",No,None,Swerve,Yes,Full krakens  has wood
8,1,nan,None,nan,Yes,No,No,"Yes, wide/funnel intake",No,No,No,Shallow cage,Swerve,Yes,nan
9,1,nan,None,nan,Yes,No,No,"Yes, wide/funnel intake",No,No,No,Shallow cage,Swerve,Yes,nan
10,6902,Allen,1 (Bottom),nan,Yes,Yes,No,"Yes, thin intake",No,"Yes, clean only",Yes,None,Swerve,No,Pretty light 59 pounds
11,9292,Sheldon,3,Drive,Yes,Yes,No,"Yes, thin intake",No,"Yes, clean only",No,Deep cage,Tank,No,nan
12,10384,Alleb,None,Leave ,No,Yes,Yes,No,No,"Yes, can intake",Yes,Shallow cage,Tank,Yes,Chill
13,10384,Alleb,None,Leave ,No,Yes,Yes,No,No,"Yes, can intake",Yes,Shallow cage,Tank,Yes,Chill
14,9180,Sheldon,3,1 L3,Yes,Yes,No,No,No,"Yes, clean only",No,None,Tank,No,12 coral 2 min
15,9180,Sheldon,3,1 L3,Yes,Yes,No,No,No,"Yes, clean only",No,None,Tank,No,12 coral 2 min
16,9044,Allen,None,Leave,No,No,No,"Yes, thin intake",No,"Yes, clean only",No,None,Swerve,No,Raspberry pi
