,Round No.,Team No.,Did they move off the starting line?,Highest Reef Level Scored:,Number of Coral Scored:,Number of Algae Scored in Processor:,Number of Algae Scored in The Net:,Coral Scored on Level 1 (bottom):,Coral Scored on Level 2:,Coral Scored on Level 3:,Coral Scored on Level 4 (top):,Algae Scored in The Processor:,Algae Scored in The Net (robot):,Algae Scored in The Net (human),Which cage did they climb on?,Robot Speed:,Robot Driving Stability:,Robot Functioning Stability:
0,1,5516,Yes,4 (Top),4,0,0,0,0,0,4,0,0,0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional
1,1,2438,Yes,4 (Top),1,0,0,3,0,3,0,0,0,0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional
2,1,5468,Yes,4 (Top),2,0,0,0,0,0,9,0,0,0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional
3,1,7332,Yes,None,0,0,0,0,0,0,0,0,0,0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional
4,1,4253,Yes,4 (Top),1,0,0,0,0,1,3,0,0,0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Small Malfunction
5,2,10044,No,None,0,0,0,0,0,0,4,0,0,0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional
6,2,4421,Yes,4 (Top),1,0,0,0,0,0,5,0,0,0,None,Fast,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction
7,2,9180,Yes,None,0,0,0,4,0,0,0,0,0,0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional
8,2,6036,Yes,4 (Top),3,0,0,0,1,2,3,0,0,0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional
9,2,4421,Yes,4 (Top),1,0,0,0,0,0,5,0,0,0,None,Fast,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction
10,2,10044,No,None,0,0,0,0,0,0,4,0,0,0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional
11,2,7287,Yes,None,0,0,0,0,0,0,0,2,0,0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional
12,3,9292,No,None,0,0,0,0,0,0,0,0,0,0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction
13,3,3990,Yes,4 (Top),1,0,0,0,0,0,2,1,0,1,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional
14,3,4327,Yes,None,0,0,0,3,0,0,0,0,0,0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional
15,3,4128,Yes,1 (Bottom),1,0,0,1,0,6,0,0,0,0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional
16,3,8339,Yes,None,0,0,0,0,0,0,0,0,0,0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Temporarily Disabled
17,3,3128,Yes,1 (Bottom),1,0,0,1,0,6,0,0,0,0,Deep Cage (low),Moderate,Stable (all wheels on the ground at all times),Fully Functional
18,1,7551,Yes,None,0,0,0,1,0,0,0,2,0,1,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional
19,4,6188,No,None,0,0,0,0,0,0,0,0,0,0,None,Moderate,Stable (all wheels on the ground at all times),Permanent Failure (out for the round)
20,4,7796,Yes,None,0,0,0,0,0,0,0,0,0,0,None,Moderate,Fell Over,Small Malfunction
21,4,7167,No,None,0,0,0,0,0,0,0,0,0,0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction
22,4,4862,Yes,None,0,0,0,5,0,0,0,0,0,0,None,Slow,Stable (all wheels on the ground at all times),Fully Functional
23,4,4270,Yes,4 (Top),1,0,0,0,0,0,4,1,0,0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional
24,4,10527,Yes,1 (Bottom),1,0,0,6,0,0,0,0,0,0,None,Fast,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional
25,5,359,Yes,4 (Top),2,0,0,3,4,2,3,0,0,0,Shallow Cage (high),Fast,Stable (all wheels on the ground at all times),Fully Functional
26,5,8338,No,None,0,0,0,0,0,0,0,0,0,0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction
27,5,9044,Yes,None,0,0,0,0,0,3,0,0,0,0,None,Slow,Stable (all wheels on the ground at all times),Small Malfunction
28,5,10384,Yes,None,0,0,0,0,0,0,0,0,0,0,None,Moderate,Stable (all wheels on the ground at all times),Fully Functional
29,5,7673,Yes,None,0,0,0,0,0,0,0,0,0,0,None,Moderate,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction
30,5,2122,No,4 (Top),2,0,0,0,0,0,5,0,0,0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional
31,6,6902,Yes,None,0,0,0,0,0,0,0,0,0,0,None,Moderate,Stable (all wheels on the ground at all times),Permanent Failure (out for the round)
32,6,2550,Yes,None,0,0,0,0,0,0,0,0,0,0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Temporarily Disabled
33,6,6390,No,None,0,0,0,0,0,0,0,0,0,0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction
34,6,6390,No,None,0,0,0,0,0,0,0,0,0,0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Small Malfunction
35,6,7688,Yes,None,0,0,0,1,0,4,0,2,0,0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction
36,6,7688,Yes,None,0,0,0,1,0,4,0,2,0,0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction
37,6,9719,No,None,0,0,0,1,0,0,0,0,0,0,None,Slow,"Unstable (1-3 wheels off the ground, but still driving)",Fully Functional
38,6,846,No,None,0,0,0,0,0,1,3,0,0,0,None,Moderate,Stable (all wheels on the ground at all times),Small Malfunction
